timestamp,UP
1468882,39603
1469382,39606
1469882,39602
1470382,39601
1470882,39605
1471382,39606
1471882,39602
1472382,39602
1472882,39604
1473382,39602
1473882,39604
1474382,39603
1474882,39604
1475382,39603
1475883,39604
1476382,39604
1476882,39602
1477382,39600
1477882,39603
1478382,39603
1478882,39601
1479382,39600
1479882,39602
1480382,39603
1480882,39599
1481382,39603
1481882,39602
1482382,39602
1482882,39601
1483382,39600
1483882,39602
1484382,39602
1484882,39602
1485382,39602
1485882,39600
1486382,39604
1486882,39600
1487382,39600
1487882,39601
1488382,39599
1488882,39597
1489382,39600
1489882,39599
1490382,39603
1490882,39598
1491382,39601
1491883,39600
1492382,39597
1492882,39596
1493382,39596
1493882,39600
1494382,39600
1494882,39596
1495382,39598
1495882,39598
1496382,39600
1496882,39599
1497382,39598
1497882,39600
1498382,39600
1498882,39599
1499382,39599
1499882,39596
1500382,39598
1500882,39599
1501382,39599
1501882,39598
1502382,39598
1502882,39598
1503382,39596
1503882,39600
1504382,39598
1504882,39596
1505382,39597
1505882,39596
1506382,39598
1506882,39597
1507382,39598
1507883,39595
1508382,39598
1508882,39597
1509382,39599
1509882,39596
1510382,39597
1510882,39596
1511382,39595
1511882,39595
1512382,39596
1512882,39596
1513382,39596
1513882,39597
1514382,39598
1514882,39595
1515382,39595
1515882,39594
1516382,39595
1516882,39598
1517382,39594
1517882,39595
1518382,39597
1518882,39595
1519382,39595
1519882,39594
1520382,39597
1520882,39592
1521382,39594
1521882,39594
1522382,39595
1522882,39593
1523382,39594
1523883,39592
1524382,39594
1524882,39595
1525382,39592
1525882,39594
1526382,39594
1526882,39593
1527382,39594
1527882,39591
1528382,39594
1528882,39592
1529382,39593
1529882,39593
1530382,39592
1530882,39595
1531382,39592
1531882,39592
1532382,39594
1532882,39592
1533382,39595
1533882,39593
1534382,39593
1534882,39590
1535382,39592
1535882,39592
1536382,39592
1536882,39592
1537382,39590
1537882,39592
1538382,39590
1538882,39590
1539382,39590
1539883,39591
1540382,39590
1540882,39593
1541382,39592
1541882,39590
1542382,39591
1542882,39588
1543382,39590
1543882,39590
1544382,39589
1544882,39590
1545382,39589
1545882,39591
1546382,39589
1546882,39589
1547382,39592
1547882,39589
1548382,39593
1548882,39588
1549382,39589
1549882,39590
1550382,39587
1550882,39590
1551382,39589
1551882,39590
1552382,39589
1552882,39591
1553382,39588
1553882,39587
1554382,39589
1554882,39589
1555382,39590
1555883,39587
1556382,39591
1556882,39587
1557382,39588
1557882,39591
1558382,39587
1558882,39587
1559382,39587
1559882,39588
1560382,39587
1560882,39590
1561382,39586
1561882,39587
1562382,39586
1562882,39586
1563382,39587
1563882,39586
1564382,39585
1564882,39588
1565382,39588
1565882,39584
1566382,39584
1566882,39585
1567382,39586
1567882,39584
1568382,39586
1568882,39587
1569382,39586
1569882,39584
1570382,39584
1570882,39585
1571382,39585
1571883,39582
1572382,39582
1572882,39584
1573382,39585
1573882,39588
1574382,39587
1574882,39588
1575382,39585
1575882,39586
1576382,39586
1576882,39586
1577382,39584
1577882,39584
1578382,39588
1578882,39587
1579382,39584
1579882,39586
1580382,39586
1580882,39583
1581382,39588
1581882,39584
1582382,39584
1582882,39583
1583382,39582
1583882,39585
1584382,39582
1584882,39583
1585382,39584
1585882,39585
1586382,39583
1586882,39584
1587382,39583
1587883,39584
1588382,39584
1588882,39586
1589382,39582
1589882,39585
1590382,39584
1590882,39585
1591382,39584
1591882,39584
1592382,39585
1592882,39584
1593382,39583
1593882,39584
1594382,39584
1594882,39583
1595382,39584
1595882,39578
1596382,39582
1596882,39582
1597382,39582
1597882,39583
1598382,39581
1598882,39582
1599382,39581
1599882,39581
1600382,39580
1600882,39581
1601382,39581
1601882,39580
1602382,39579
1602882,39582
1603382,39578
1603883,39583
1604382,39580
1604882,39580
1605382,39580
1605882,39584
1606382,39583
1606882,39580
1607382,39582
1607882,39580
1608382,39584
1608882,39581
1609382,39580
1609882,39578
1610382,39582
1610882,39578
1611382,39582
1611882,39580
